year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
48,72,33,39,18,54,18,28,18.27777777777778,30.266880524433063,26.302812617313396,47.18055555555556,52.81944444444444
49,75,35,40,18,57,18,29,18.08,31.871270257497237,27.328729742502766,47.21333333333333,52.78666666666667
50,78,35,43,18,60,18,30,17.94871794871795,32.39995783201304,26.80517037311516,48.19230769230769,51.80769230769231
51,77,36,41,17,60,18,33,18.09090909090909,30.317935338070363,28.123623103488075,47.97402597402598,52.02597402597402
52,75,35,40,14,61,18,37,18.04,27.622424780092807,30.790908553240527,47.81333333333333,52.18666666666667
53,75,40,35,14,61,18,37,19.04,28.958888951957917,28.387777714708754,47.81333333333333,52.18666666666667
54,76,40,36,20,56,18,38,19.36842105263158,30.143397782343413,28.382918007130275,48.01315789473684,51.98684210526316
55,76,40,36,18,58,18,41,19.07894736842105,29.42172688541501,29.933537414686743,48.21052631578947,51.78947368421053
56,76,40,36,17,59,18,43,19.092105263157894,27.970369190288345,30.648051862343234,48.46052631578947,51.53947368421053
57,76,39,37,17,59,18,45,19.67105263157895,28.554913732717804,29.58982310938746,46.38157894736842,53.61842105263158
58,80,42,38,17,63,18,45,19.6875,31.43711067710451,26.96288932289549,45.4875,54.5125
59,80,46,34,17,63,18,46,20.225,32.36520229284227,24.28479770715773,45.125,54.875
60,77,44,33,17,60,18,50,20.103896103896105,30.699406654567376,26.352541397380676,46.25974025974026,53.74025974025974
61,78,42,36,16,62,19,52,19.128205128205128,30.93533004999105,25.59338462652882,47.06410256410256,52.93589743589744
62,80,47,33,16,64,19,52,19.65,31.834176699141004,23.29082330085899,46.8,53.2
63,83,47,36,15,68,19,53,19.53012048192771,33.64735115486475,21.526427660614296,46.9277108433735,53.0722891566265
64,83,45,38,15,68,21,55,18.686746987951807,34.996266245322225,19.04498244967489,46.04819277108434,53.95180722891566
65,82,47,35,17,65,21,56,19.426829268292682,35.737473571409296,15.93325813590777,45.829268292682926,54.170731707317074
66,83,48,35,16,67,21,57,19.602409638554217,38.34553609215583,14.003861498205612,45.72289156626506,54.27710843373494
67,78,45,33,18,60,21,62,20.397435897435898,36.97706998963288,15.233852936473594,45.26923076923077,54.73076923076923
68,79,48,31,17,62,21,66,20.329113924050635,36.701972410425384,18.731137082573067,44.36708860759494,55.63291139240506
69,79,49,30,17,62,21,67,21.240506329113924,37.40745478435657,15.59254521564344,44.36708860759494,55.63291139240506
70,78,50,28,19,59,21,69,21.974358974358974,36.52056562139025,17.924832952811755,44.11538461538461,55.88461538461539
71,77,52,25,21,56,21,72,22.87012987012987,35.68374001457295,19.290285959453023,42.77922077922078,57.22077922077922
72,77,52,25,20,57,22,74,22.98701298701299,35.35165869594883,20.570419226129093,43.18181818181818,56.81818181818182
73,70,48,22,18,52,23,81,22.82857142857143,31.020265237348195,22.643313988360024,43.51428571428571,56.48571428571429
74,70,49,21,18,52,23,82,23.728571428571428,30.66615162363646,22.876705519220682,43.84285714285714,56.15714285714286
75,71,49,22,17,54,24,83,23.52112676056338,29.735717524388498,23.447381067160798,44.436619718309856,55.563380281690144
76,72,49,23,16,56,25,83,23.47222222222222,31.607353727543163,20.225979605790176,43.94444444444444,56.05555555555556
77,73,49,24,16,57,25,84,23.972602739726028,32.665897337659345,17.701153692746825,44.082191780821915,55.917808219178085
78,72,49,23,15,57,25,87,24.11111111111111,31.191856898902504,19.846951869260653,44.888888888888886,55.111111111111114
79,73,48,25,15,58,25,88,24.273972602739725,31.686887603164095,19.491194588616725,45.28767123287671,54.71232876712329
80,71,48,23,14,57,25,90,25.183098591549296,29.87369330809611,19.491334768454205,45.394366197183096,54.605633802816904
81,66,45,21,11,55,25,95,25.62121212121212,24.848704649406525,23.47532976126553,46.34848484848485,53.65151515151515
82,64,43,21,10,54,27,95,25.71875,24.491661796346197,24.86714006047042,46.203125,53.796875
83,65,43,22,12,53,27,95,26.323076923076922,24.989723959546478,25.102583732761218,46.03076923076923,53.96923076923077
84,66,45,21,12,54,27,95,26.924242424242426,24.38069152488572,25.801126656932468,46.40909090909091,53.59090909090909
85,64,44,20,11,53,29,95,27.109375,23.955782416257584,25.231717583742416,46.375,53.625
86,63,42,21,11,52,30,96,26.936507936507937,22.35106786405115,27.252106739123455,46.507936507936506,53.492063492063494
