year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
68,76,49,27,17,59,19,37,21.30263157894737,29.048010134371424,27.951989865628583,47.973684210526315,52.026315789473685
69,75,48,27,17,58,19,40,21.506666666666668,27.25386089076399,29.559472442569344,47.08,52.92
70,74,46,28,15,59,19,42,21.783783783783782,26.795081874109865,29.089580259296294,47.2027027027027,52.7972972972973
71,74,46,28,15,59,19,43,22.243243243243242,27.676580373315474,29.05314935641426,47.12162162162162,52.87837837837838
72,73,47,26,17,56,19,44,23.315068493150687,26.944497961393036,29.00070751805902,46.49315068493151,53.50684931506849
73,72,46,26,17,55,21,45,22.5,26.969752727296974,29.937659486813338,46.69444444444444,53.30555555555556
74,74,46,28,17,57,21,45,22.89189189189189,27.880796708358638,28.28136545380353,46.351351351351354,53.648648648648646
75,75,47,28,17,58,21,46,23.386666666666667,28.04872634335955,28.15399121078007,45.86666666666667,54.13333333333333
76,74,48,26,17,57,22,47,23.783783783783782,27.266961938891004,27.827632655703592,45.78378378378378,54.21621621621622
77,76,48,28,17,59,22,47,24.157894736842106,27.790422135122544,28.617472601719562,45.578947368421055,54.421052631578945
78,75,47,28,18,57,23,47,24.76,27.495034801793683,27.528991123992384,45.96,54.04
79,78,51,27,18,60,23,47,24.807692307692307,29.79163690037228,26.79810668937131,45.666666666666664,54.333333333333336
80,75,52,23,18,57,24,49,25.68,28.81411115204913,25.17719384565555,45.96,54.04
81,74,49,25,17,57,26,50,25.364864864864863,30.086805564570103,26.156437678673143,45.148648648648646,54.851351351351354
82,73,46,27,16,57,27,52,25.0,29.712713680416435,25.779974222087258,44.61643835616438,55.38356164383562
83,72,47,25,15,57,28,53,25.305555555555557,28.60225241763524,25.801456850713045,43.80555555555556,56.19444444444444
84,73,50,23,16,57,28,55,25.19178082191781,27.745938406837176,29.034936377187037,42.726027397260275,57.273972602739725
85,71,46,25,14,57,30,57,24.507042253521128,26.955844809395913,28.879879372984735,44.436619718309856,55.563380281690144
86,71,45,26,13,58,30,59,24.281690140845072,25.348473252848283,30.802840084023455,45.521126760563384,54.478873239436616
87,71,46,25,13,58,30,60,24.676056338028168,25.653992695946922,29.280366816484914,46.605633802816904,53.394366197183096
88,70,45,25,12,58,30,62,25.114285714285714,25.259111236830268,29.449420976428403,46.6,53.4
89,71,45,26,12,59,30,62,25.760563380281692,26.899098199645437,27.96005672993203,47.19718309859155,52.80281690140845
90,71,47,24,12,59,30,63,26.56338028169014,26.850910115115237,27.52937157502561,46.521126760563384,53.478873239436616
91,70,47,23,14,56,31,64,26.442857142857143,27.214163723199192,26.60012199108652,46.77142857142857,53.22857142857143
92,72,49,23,14,58,31,64,26.708333333333332,27.744598148663858,27.283179629113917,45.708333333333336,54.291666666666664
93,73,48,25,13,60,33,64,25.835616438356166,29.20319101432857,25.591329533616634,46.97260273972603,53.02739726027397
94,75,48,27,15,60,33,64,26.14666666666667,29.943956162128895,23.296043837871107,46.906666666666666,53.093333333333334
95,74,48,26,15,59,34,67,26.10810810810811,28.66391848519369,25.200946379671173,47.25675675675676,52.74324324324324
96,74,47,27,15,59,35,68,26.18918918918919,29.144343760801632,23.977277860819992,47.21621621621622,52.78378378378378
97,76,47,29,15,61,35,69,26.276315789473685,29.92579749719923,22.666307765958656,48.26315789473684,51.73684210526316
98,74,45,29,15,59,36,71,26.445945945945947,28.486349006955255,23.488344441636663,48.986486486486484,51.013513513513516
99,75,46,29,15,60,36,71,27.093333333333334,30.12427144422368,21.862395222442984,49.093333333333334,50.906666666666666
100,74,44,30,16,58,37,73,27.243243243243242,28.210327611054584,23.49607085282814,51.0,49.0
101,72,45,27,14,58,38,76,26.97222222222222,26.25960529440353,23.868321886136748,50.861111111111114,49.138888888888886
102,70,43,27,14,56,39,78,26.4,26.179892674597177,24.161954761764655,49.75714285714286,50.24285714285714
103,71,42,29,13,58,39,79,26.281690140845072,26.346815323745677,26.28843099662535,50.15492957746479,49.84507042253521
104,72,42,30,13,59,40,79,26.125,28.7333763703281,22.15551251856079,50.791666666666664,49.208333333333336
105,71,41,30,13,58,42,80,25.704225352112676,29.330496657489267,22.06504502742364,50.816901408450704,49.183098591549296
106,68,38,30,13,55,43,83,26.25,26.760822841783707,25.327412452333945,51.55882352941177,48.44117647058823
107,65,36,29,12,53,45,84,26.323076923076922,24.04000039905085,27.98239652327013,50.12307692307692,49.87692307692308
108,64,34,30,11,53,47,84,25.953125,24.208489732792998,28.932135267207002,50.78125,49.21875
109,62,36,26,10,52,49,85,25.677419354838708,21.697616170641293,32.07011197249488,49.70967741935484,50.29032258064516
110,59,33,26,7,52,53,85,24.372881355932204,22.796157141551785,30.43381233875596,48.847457627118644,51.152542372881356
111,59,35,24,9,50,53,86,25.050847457627118,21.781930241376166,30.828239250149256,50.33898305084746,49.66101694915254
112,59,35,24,9,50,54,87,24.322033898305083,20.156999984715462,32.9079230021539,51.152542372881356,48.847457627118644
113,58,34,24,9,49,56,87,23.982758620689655,19.893659079059745,32.261513334733365,52.43103448275862,47.56896551724138
114,58,36,22,9,49,57,87,23.93103448275862,19.668497477592716,31.93144239435036,51.189655172413794,48.810344827586206
115,56,35,21,7,49,59,87,23.928571428571427,18.95612317771269,30.990305393715882,52.125,47.875
116,58,38,20,7,51,59,87,24.103448275862068,20.4378279248559,31.648378971695823,52.56896551724138,47.43103448275862
117,59,40,19,9,50,59,87,24.694915254237287,21.13163583328596,29.61412687857845,53.23728813559322,46.76271186440678
118,61,41,20,11,50,59,87,24.885245901639344,22.19606838404541,28.361308665134917,53.01639344262295,46.98360655737705
119,63,42,21,15,48,59,87,25.095238095238095,23.364348581418117,27.2546990376295,52.80952380952381,47.19047619047619
120,64,45,19,15,49,59,87,25.703125,23.98511846168463,25.13988153831537,52.609375,47.390625
121,63,45,18,15,48,61,87,25.38095238095238,25.360046706310257,24.306619960356407,53.92063492063492,46.07936507936508
122,65,45,20,14,51,62,87,24.753846153846155,28.303359599832422,23.696640400167578,53.76923076923077,46.23076923076923
123,64,41,23,13,51,64,89,23.53125,27.15906208870723,23.043091823031233,55.1875,44.8125
124,62,38,24,13,49,66,90,23.080645161290324,27.910625203230826,22.815181248382075,54.66129032258065,45.33870967741935
125,63,39,24,15,48,66,90,23.714285714285715,28.98862652628556,21.693913156254123,54.61904761904762,45.38095238095238
126,63,39,24,15,48,66,92,23.761904761904763,27.309922716700974,23.664877432141136,53.73015873015873,46.26984126984127
127,60,36,24,15,45,68,94,23.166666666666668,24.353727058790824,28.27960627454251,54.4,45.6
128,55,32,23,14,41,70,97,22.636363636363637,19.147837899923058,31.27358664197699,55.18181818181818,44.81818181818182
129,56,33,23,14,42,71,97,22.267857142857142,20.926120344062674,33.491408746585975,54.910714285714285,45.089285714285715
130,57,33,24,14,43,71,97,22.87719298245614,21.252212813532378,32.62498016892376,55.280701754385966,44.719298245614034
131,59,34,25,14,45,71,97,23.10169491525424,21.94002941322606,33.314207874909535,53.983050847457626,46.016949152542374
132,60,34,26,13,47,72,97,22.85,23.798962216807784,31.350684320563655,55.11666666666667,44.88333333333333
133,61,34,27,13,48,72,98,22.901639344262296,23.149701742715113,32.53882284744882,54.278688524590166,45.721311475409834
134,60,34,26,13,47,74,98,22.283333333333335,24.147422794512856,29.743646278170736,53.95,46.05
135,62,37,25,15,47,74,98,22.56451612903226,25.364712960823777,30.52238381336977,54.354838709677416,45.645161290322584
136,62,36,26,14,48,75,98,22.516129032258064,27.073669161150878,28.957961153963346,54.12903225806452,45.87096774193548
137,60,36,24,15,45,77,98,22.433333333333334,29.72394139370459,24.585479719758716,53.6,46.4
138,61,38,23,14,47,78,98,22.21311475409836,29.216807591456234,25.094667818379833,53.39344262295082,46.60655737704918
139,60,39,21,14,46,78,99,23.0,28.405848977888255,25.127484355445073,53.583333333333336,46.416666666666664
140,61,39,22,16,45,78,100,23.0327868852459,27.499136675175333,28.238568242857458,52.114754098360656,47.885245901639344
141,63,41,22,16,47,78,100,23.3015873015873,27.774036506543467,27.210090477583517,52.0,48.0
142,66,41,25,18,48,78,100,23.242424242424242,29.461914058444755,26.28051018397949,52.04545454545455,47.95454545454545
143,65,42,23,17,48,79,100,23.815384615384616,28.710897208303273,24.67371817631211,52.6,47.4
144,65,43,22,19,46,79,100,24.815384615384616,29.43385639299851,23.950758991616876,52.6,47.4
145,66,45,21,21,45,79,100,25.439393939393938,30.366870209280346,24.102826760416622,52.90909090909091,47.09090909090909
146,67,46,21,21,46,79,100,26.059701492537314,28.47864494907458,26.163146095701542,52.223880597014926,47.776119402985074
147,64,47,17,20,44,80,102,27.140625,25.972635105407758,27.585136910854885,51.875,48.125
148,63,47,16,19,44,82,102,26.73015873015873,25.359736687954864,29.560898232680053,52.682539682539684,47.317460317460316
149,63,47,16,18,45,83,102,26.841269841269842,25.47651036611953,29.967934078324916,51.698412698412696,48.301587301587304
150,62,48,14,18,44,83,103,27.661290322580644,23.929675275918974,31.050142672323787,51.096774193548384,48.903225806451616
151,60,47,13,17,43,85,103,27.883333333333333,23.398358318915243,32.58497501441809,50.6,49.4
152,62,48,14,17,45,85,103,27.983870967741936,23.0262369754998,34.68344044385504,50.32258064516129,49.67741935483871
153,61,47,14,17,44,86,103,28.475409836065573,23.299829416120545,33.04081536158799,50.16393442622951,49.83606557377049
154,61,48,13,17,44,87,103,28.57377049180328,23.281413730137963,33.8989141387145,50.0655737704918,49.9344262295082
155,61,47,14,16,45,88,103,28.672131147540984,23.520573143205354,33.6051762374687,50.68852459016394,49.31147540983606
156,63,49,14,16,47,88,103,28.761904761904763,23.780395157241923,33.473573096726334,49.65079365079365,50.34920634920635
157,63,48,15,17,46,90,103,28.11111111111111,24.338365039763808,32.979095277696516,48.888888888888886,51.111111111111114
158,62,50,12,19,43,90,104,29.0,23.509243717466163,32.29720789543706,48.145161290322584,51.854838709677416
159,64,50,14,19,45,90,104,29.09375,25.287351109691265,32.853273890308735,48.515625,51.484375
160,64,48,16,17,47,91,105,28.59375,26.393761032501036,30.53570815062544,47.046875,52.953125
161,62,45,17,15,47,94,106,27.20967741935484,27.69529078981229,26.724064048897386,45.41935483870968,54.58064516129032
162,62,44,18,15,47,96,106,26.548387096774192,29.21631916198435,24.283285917044978,46.16129032258065,53.83870967741935
163,60,42,18,13,47,96,108,27.066666666666666,26.319853787355722,24.896812879310946,45.96666666666667,54.03333333333333
164,61,41,20,13,48,96,109,26.852459016393443,24.688514523139638,28.43546010874052,45.0,55.0
165,59,40,19,13,46,97,110,27.135593220338983,22.14461834980111,30.208694384197898,45.30508474576271,54.69491525423729
166,58,39,19,14,44,98,111,26.724137931034484,18.83266591437157,32.16229623010689,46.224137931034484,53.775862068965516
167,60,39,21,16,44,98,111,26.833333333333332,19.420313120031047,33.56302021330229,45.7,54.3
168,59,40,19,16,43,99,111,27.305084745762713,18.414789935487043,33.66995582722482,45.11864406779661,54.88135593220339
169,59,39,20,15,44,100,111,27.338983050847457,17.595449654639637,35.74353339620782,44.3728813559322,55.6271186440678
170,61,40,21,15,46,100,111,27.442622950819672,18.146468961545388,36.509268743372644,44.16393442622951,55.83606557377049
171,60,40,20,15,45,101,111,28.033333333333335,17.960398122186632,35.439601877813374,44.6,55.4
172,57,36,21,12,45,105,111,26.771929824561404,16.668687347572593,39.00892263313992,44.10526315789474,55.89473684210526
173,58,40,18,12,46,105,111,27.310344827586206,16.859498229476408,38.19222590845462,44.93103448275862,55.06896551724138
174,57,39,18,13,44,106,111,27.82456140350877,15.68993390071835,38.538136274720245,44.228070175438596,55.771929824561404
175,58,40,18,13,45,106,111,28.344827586206897,17.448499620804967,38.08598313781573,44.275862068965516,55.724137931034484
176,59,41,18,15,44,107,111,27.983050847457626,18.746585887071785,37.59239716377567,45.6271186440678,54.3728813559322
177,60,40,20,14,46,109,111,26.683333333333334,20.203793419710756,35.98404361155439,44.766666666666666,55.233333333333334
178,59,42,17,13,46,110,111,27.271186440677965,19.830649197908325,33.38337963763293,44.25423728813559,55.74576271186441
